shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_1,27.667247,85.323094,0
shape_1,27.672381,85.315733,1
shape_1,27.676714,85.316122,2
shape_1,27.687794,85.316297,3
shape_1,27.691261,85.317751,4
shape_1,27.693484,85.314354,5
shape_1,27.702516,85.313493,6
shape_1,27.708828,85.315326,7
shape_1,27.721135,85.319792,8
shape_1,27.734030,85.329915,9
shape_1,27.735414,85.331725,10
shape_1,27.739985,85.337044,11
shape_1,27.735289,85.318065,12
shape_1,27.734985,85.314589,13
shape_1,27.732425,85.308117,14
