trip_id,stop_sequence,stop_id,arrival_time,departure_time
trip_1,1,stop_1,0:00:00,0:00:00
trip_1,2,stop_2,0:10:00,0:10:00
trip_1,3,stop_3,0:20:00,0:20:00
trip_1,4,stop_4,0:30:00,0:30:00
trip_1,5,stop_5,0:40:00,0:40:00
trip_1,6,stop_6,0:50:00,0:50:00
trip_1,7,stop_7,1:00:00,1:00:00
trip_1,8,stop_8,1:10:00,1:10:00
trip_1,9,stop_9,1:20:00,1:20:00
trip_1,10,stop_10,1:30:00,1:30:00
trip_1,11,stop_11,1:40:00,1:40:00
trip_1,12,stop_12,1:45:00,1:45:00
trip_1,13,stop_13,1:50:00,1:50:00
trip_1,14,stop_14,1:55:00,1:55:00
trip_1,15,stop_15,2:00:00,2:00:00
trip_2,1,stop_1,2:00:00,2:00:00
trip_2,2,stop_2,2:10:00,2:10:00
trip_2,3,stop_3,2:20:00,2:20:00
trip_2,4,stop_4,2:30:00,2:30:00
trip_2,5,stop_5,2:40:00,2:40:00
trip_2,6,stop_6,2:50:00,2:50:00
trip_2,7,stop_7,3:00:00,3:00:00
trip_2,8,stop_8,3:10:00,3:10:00
trip_2,9,stop_9,3:20:00,3:20:00
trip_2,10,stop_10,3:30:00,3:30:00
trip_2,11,stop_11,3:40:00,3:40:00
trip_2,12,stop_12,3:45:00,3:45:00
trip_2,13,stop_13,3:50:00,3:50:00
trip_2,14,stop_14,3:55:00,3:55:00
trip_2,15,stop_15,4:00:00,4:00:00
trip_3,1,stop_1,4:00:00,4:00:00
trip_3,2,stop_2,4:10:00,4:10:00
trip_3,3,stop_3,4:20:00,4:20:00
trip_3,4,stop_4,4:30:00,4:30:00
trip_3,5,stop_5,4:40:00,4:40:00
trip_3,6,stop_6,4:50:00,4:50:00
trip_3,7,stop_7,5:00:00,5:00:00
trip_3,8,stop_8,5:10:00,5:10:00
trip_3,9,stop_9,5:20:00,5:20:00
trip_3,10,stop_10,5:30:00,5:30:00
trip_3,11,stop_11,5:40:00,5:40:00
trip_3,12,stop_12,5:45:00,5:45:00
trip_3,13,stop_13,5:50:00,5:50:00
trip_3,14,stop_14,5:55:00,5:55:00
trip_3,15,stop_15,6:00:00,6:00:00
trip_4,1,stop_1,6:00:00,6:00:00
trip_4,2,stop_2,6:10:00,6:10:00
trip_4,3,stop_3,6:20:00,6:20:00
trip_4,4,stop_4,6:30:00,6:30:00
trip_4,5,stop_5,6:40:00,6:40:00
trip_4,6,stop_6,6:50:00,6:50:00
trip_4,7,stop_7,7:00:00,7:00:00
trip_4,8,stop_8,7:10:00,7:10:00
trip_4,9,stop_9,7:20:00,7:20:00
trip_4,10,stop_10,7:30:00,7:30:00
trip_4,11,stop_11,7:40:00,7:40:00
trip_4,12,stop_12,7:45:00,7:45:00
trip_4,13,stop_13,7:50:00,7:50:00
trip_4,14,stop_14,7:55:00,7:55:00
trip_4,15,stop_15,7:59:59,7:59:59
trip_5,1,stop_1,8:00:00,8:00:00
trip_5,2,stop_2,8:10:00,8:10:00
trip_5,3,stop_3,8:20:00,8:20:00
trip_5,4,stop_4,8:30:00,8:30:00
trip_5,5,stop_5,8:40:00,8:40:00
trip_5,6,stop_6,8:50:00,8:50:00
trip_5,7,stop_7,9:00:00,9:00:00
trip_5,8,stop_8,9:10:00,9:10:00
trip_5,9,stop_9,9:20:00,9:20:00
trip_5,10,stop_10,9:30:00,9:30:00
trip_5,11,stop_11,9:40:00,9:40:00
trip_5,12,stop_12,9:45:00,9:45:00
trip_5,13,stop_13,9:50:00,9:50:00
trip_5,14,stop_14,9:55:00,9:55:00
trip_5,15,stop_15,9:59:59,9:59:59
trip_6,1,stop_1,10:00:00,10:00:00
trip_6,2,stop_2,10:10:00,10:10:00
trip_6,3,stop_3,10:20:00,10:20:00
trip_6,4,stop_4,10:30:00,10:30:00
trip_6,5,stop_5,10:40:00,10:40:00
trip_6,6,stop_6,10:50:00,10:50:00
trip_6,7,stop_7,11:00:00,11:00:00
trip_6,8,stop_8,11:10:00,11:10:00
trip_6,9,stop_9,11:20:00,11:20:00
trip_6,10,stop_10,11:30:00,11:30:00
trip_6,11,stop_11,11:40:00,11:40:00
trip_6,12,stop_12,11:45:00,11:45:00
trip_6,13,stop_13,11:50:00,11:50:00
trip_6,14,stop_14,11:55:00,11:55:00
trip_6,15,stop_15,11:59:59,11:59:59
trip_7,1,stop_1,12:00:00,12:00:00
trip_7,2,stop_2,12:10:00,12:10:00
trip_7,3,stop_3,12:20:00,12:20:00
trip_7,4,stop_4,12:30:00,12:30:00
trip_7,5,stop_5,12:40:00,12:40:00
trip_7,6,stop_6,12:50:00,12:50:00
trip_7,7,stop_7,13:00:00,13:00:00
trip_7,8,stop_8,13:10:00,13:10:00
trip_7,9,stop_9,13:20:00,13:20:00
trip_7,10,stop_10,13:30:00,13:30:00
trip_7,11,stop_11,13:40:00,13:40:00
trip_7,12,stop_12,13:45:00,13:45:00
trip_7,13,stop_13,13:50:00,13:50:00
trip_7,14,stop_14,13:55:00,13:55:00
trip_7,15,stop_15,13:59:59,13:59:59
trip_8,1,stop_1,14:00:00,14:00:00
trip_8,2,stop_2,14:10:00,14:10:00
trip_8,3,stop_3,14:20:00,14:20:00
trip_8,4,stop_4,14:30:00,14:30:00
trip_8,5,stop_5,14:40:00,14:40:00
trip_8,6,stop_6,14:50:00,14:50:00
trip_8,7,stop_7,15:00:00,15:00:00
trip_8,8,stop_8,15:10:00,15:10:00
trip_8,9,stop_9,15:20:00,15:20:00
trip_8,10,stop_10,15:30:00,15:30:00
trip_8,11,stop_11,15:40:00,15:40:00
trip_8,12,stop_12,15:45:00,15:45:00
trip_8,13,stop_13,15:50:00,15:50:00
trip_8,14,stop_14,15:55:00,15:55:00
trip_8,15,stop_15,15:59:59,15:59:59
trip_9,1,stop_1,16:00:00,16:00:00
trip_9,2,stop_2,16:10:00,16:10:00
trip_9,3,stop_3,16:20:00,16:20:00
trip_9,4,stop_4,16:30:00,16:30:00
trip_9,5,stop_5,16:40:00,16:40:00
trip_9,6,stop_6,16:50:00,16:50:00
trip_9,7,stop_7,17:00:00,17:00:00
trip_9,8,stop_8,17:10:00,17:10:00
trip_9,9,stop_9,17:20:00,17:20:00
trip_9,10,stop_10,17:30:00,17:30:00
trip_9,11,stop_11,17:40:00,17:40:00
trip_9,12,stop_12,17:45:00,17:45:00
trip_9,13,stop_13,17:50:00,17:50:00
trip_9,14,stop_14,17:55:00,17:55:00
trip_9,15,stop_15,17:59:59,17:59:59
trip_10,1,stop_1,18:00:00,18:00:00
trip_10,2,stop_2,18:10:00,18:10:00
trip_10,3,stop_3,18:20:00,18:20:00
trip_10,4,stop_4,18:30:00,18:30:00
trip_10,5,stop_5,18:40:00,18:40:00
trip_10,6,stop_6,18:50:00,18:50:00
trip_10,7,stop_7,19:00:00,19:00:00
trip_10,8,stop_8,19:10:00,19:10:00
trip_10,9,stop_9,19:20:00,19:20:00
trip_10,10,stop_10,19:30:00,19:30:00
trip_10,11,stop_11,19:40:00,19:40:00
trip_10,12,stop_12,19:45:00,19:45:00
trip_10,13,stop_13,19:50:00,19:50:00
trip_10,14,stop_14,19:55:00,19:55:00
trip_10,15,stop_15,19:59:59,19:59:59
trip_11,1,stop_1,20:00:00,20:00:00
trip_11,2,stop_2,20:10:00,20:10:00
trip_11,3,stop_3,20:20:00,20:20:00
trip_11,4,stop_4,20:30:00,20:30:00
trip_11,5,stop_5,20:40:00,20:40:00
trip_11,6,stop_6,20:50:00,20:50:00
trip_11,7,stop_7,21:00:00,21:00:00
trip_11,8,stop_8,21:10:00,21:10:00
trip_11,9,stop_9,21:20:00,21:20:00
trip_11,10,stop_10,21:30:00,21:30:00
trip_11,11,stop_11,21:40:00,21:40:00
trip_11,12,stop_12,21:45:00,21:45:00
trip_11,13,stop_13,21:50:00,21:50:00
trip_11,14,stop_14,21:55:00,21:55:00
trip_11,15,stop_15,21:59:59,21:59:59
trip_12,1,stop_1,22:00:00,22:00:00
trip_12,2,stop_2,22:10:00,22:10:00
trip_12,3,stop_3,22:20:00,22:20:00
trip_12,4,stop_4,22:30:00,22:30:00
trip_12,5,stop_5,22:40:00,22:40:00
trip_12,6,stop_6,22:50:00,22:50:00
trip_12,7,stop_7,23:00:00,23:00:00
trip_12,8,stop_8,23:10:00,23:10:00
